Source_Name,Sub_Class,Predicted_Macro_Class,Confidence,Prob_AGN,Prob_Binary,Prob_Galactic,Prob_Galaxy,Prob_Pulsar,Final_Class
4FGL J1119.9-1007,unass,AGN,0.925,0.925,0.0,0.0,0.075,0.0,predicted_bll
4FGL J1216.2-1550,unass,AGN,0.925,0.925,0.0,0.045,0.005,0.025,predicted_bll
4FGL J1845.3+5605,unass,AGN,0.925,0.925,0.005,0.025,0.005,0.04,predicted_bcu
4FGL J0641.4+3349,unass,AGN,0.925,0.925,0.005,0.045,0.02,0.005,predicted_bll
4FGL J1208.2+1158,unass,AGN,0.925,0.925,0.005,0.015,0.025,0.03,predicted_bll
4FGL J0912.0-1539,unass,AGN,0.925,0.925,0.02,0.01,0.015,0.03,predicted_bcu
4FGL J0906.1-1011,unass,AGN,0.925,0.925,0.0,0.04,0.015,0.02,predicted_bll
4FGL J1216.2+0537,unass,AGN,0.925,0.925,0.005,0.0,0.065,0.005,predicted_bll
4FGL J2311.6-4427,unass,AGN,0.925,0.925,0.005,0.055,0.005,0.01,predicted_bll
4FGL J0942.5+7620,unass,AGN,0.925,0.925,0.0,0.035,0.005,0.035,predicted_bll
4FGL J0614.8+5735,unass,AGN,0.925,0.925,0.005,0.015,0.045,0.01,predicted_bcu
4FGL J2104.4+2116,unass,AGN,0.925,0.925,0.06,0.005,0.005,0.005,predicted_bll
4FGL J0040.7-7157,unass,AGN,0.925,0.925,0.01,0.01,0.055,0.0,predicted_bll
4FGL J0007.4-0322,unass,AGN,0.925,0.925,0.015,0.05,0.0,0.01,predicted_bll
4FGL J2043.8+2205,unass,AGN,0.925,0.925,0.015,0.025,0.0,0.035,predicted_fsrq
4FGL J1022.1-1818,unass,AGN,0.925,0.925,0.01,0.04,0.005,0.02,predicted_bll
4FGL J0233.7-2423,unass,AGN,0.925,0.925,0.0,0.05,0.015,0.01,predicted_bll
4FGL J0438.7-3441,unass,AGN,0.925,0.925,0.0,0.06,0.0,0.015,predicted_bll
4FGL J0805.3-7425,unass,AGN,0.925,0.925,0.01,0.06,0.0,0.005,predicted_bcu
4FGL J2328.2-4422,unass,AGN,0.925,0.925,0.005,0.04,0.03,0.0,predicted_bll
4FGL J0150.9+1230,unass,AGN,0.925,0.925,0.01,0.01,0.04,0.015,predicted_bcu
4FGL J0241.1-3035,unass,AGN,0.9223,0.9223,0.0,0.0401,0.0376,0.0,predicted_bll
4FGL J2032.2-0545,unass,AGN,0.92,0.92,0.005,0.07,0.0,0.005,predicted_bll
4FGL J0458.2+6244,unass,AGN,0.92,0.92,0.015,0.045,0.01,0.01,predicted_bll
4FGL J0045.9-2021,unass,AGN,0.92,0.92,0.0,0.045,0.0,0.035,predicted_bll
4FGL J0857.4+6615,unass,AGN,0.92,0.92,0.005,0.03,0.0,0.045,predicted_bcu
4FGL J1304.6+0539,unass,AGN,0.92,0.92,0.06,0.0,0.005,0.015,predicted_fsrq
4FGL J0443.3-5949,unass,AGN,0.92,0.92,0.04,0.025,0.005,0.01,predicted_bll
4FGL J1810.1+2156,unass,AGN,0.92,0.92,0.01,0.045,0.0,0.025,predicted_bll
4FGL J2037.0-2826,unass,AGN,0.92,0.92,0.06,0.02,0.0,0.0,predicted_fsrq
4FGL J1213.1-1123,unass,AGN,0.92,0.92,0.01,0.02,0.01,0.04,predicted_bcu
4FGL J1210.1+3241,unass,AGN,0.92,0.92,0.015,0.05,0.005,0.01,predicted_bll
4FGL J1039.2+3258,unass,AGN,0.92,0.92,0.01,0.04,0.0,0.03,predicted_bcu
4FGL J0931.4-3559,unass,AGN,0.92,0.92,0.0,0.055,0.025,0.0,predicted_bll
4FGL J0414.6+5711,unass,AGN,0.92,0.92,0.0,0.07,0.01,0.0,predicted_bll
4FGL J0314.4-4805,unass,AGN,0.92,0.92,0.01,0.06,0.005,0.005,predicted_bll
4FGL J2201.0-3228,unass,AGN,0.92,0.92,0.005,0.055,0.015,0.005,predicted_bll
4FGL J0959.2-7535,unass,AGN,0.92,0.92,0.015,0.05,0.01,0.005,predicted_bll
4FGL J0006.6+4618,unass,AGN,0.92,0.92,0.0,0.05,0.01,0.02,predicted_bll
4FGL J0512.5-2201,unass,AGN,0.92,0.92,0.005,0.055,0.005,0.015,predicted_bcu
4FGL J0010.2-2431,unass,AGN,0.915,0.915,0.01,0.04,0.0,0.035,predicted_bll
4FGL J0000.7+2530,unass,AGN,0.915,0.915,0.01,0.045,0.03,0.0,predicted_bll
4FGL J0358.7-7403,unass,AGN,0.915,0.915,0.025,0.03,0.02,0.01,predicted_fsrq
4FGL J1648.7+4834,unass,AGN,0.915,0.915,0.0,0.055,0.01,0.02,predicted_bll
4FGL J1201.4+8234,unass,AGN,0.915,0.915,0.005,0.02,0.015,0.045,predicted_fsrq
4FGL J2144.7-5640,unass,AGN,0.915,0.915,0.005,0.045,0.02,0.015,predicted_bll
