Source_Name,Micro_Class,Micro_Conf,Final_Class
4FGL J0136.8+2032,fsrq,0.885,predicted_fsrq
4FGL J0138.6+2923,fsrq,0.9499596774193548,predicted_fsrq
4FGL J0140.6+8736,bll,0.6837458833311595,remains_bcu
4FGL J0143.1-3622,fsrq,0.999580042003136,predicted_fsrq
4FGL J0143.3-0119,bll,0.5301851851851852,remains_bcu
4FGL J0145.9+2319,fsrq,0.7218796992481202,predicted_fsrq
4FGL J0146.3+4606,bll,0.70413813303099,predicted_bll
4FGL J0147.6+1547,bll,0.51,remains_bcu
4FGL J0147.6-6028,bll,0.9398186592415056,predicted_bll
4FGL J0147.6-0825,fsrq,0.8796384101661857,predicted_fsrq
4FGL J0147.7-1321,bll,0.7395,predicted_bll
4FGL J0149.6-0734,fsrq,0.505,remains_bcu
4FGL J0150.5-3337,fsrq,0.755,predicted_fsrq
4FGL J0150.6-5448,bll,0.9574496098215348,predicted_bll
4FGL J0151.0+0539,bll,0.8743901098901099,predicted_bll
4FGL J0151.4-3607,fsrq,0.535,remains_bcu
4FGL J0151.7+5455,fsrq,0.9423892806088228,predicted_fsrq
4FGL J0152.2+3714,fsrq,0.6843055928836912,remains_bcu
4FGL J0154.5-6604,fsrq,0.865,predicted_fsrq
4FGL J0155.4-0625,bll,0.56,remains_bcu
4FGL J0156.1+1502,bll,0.9763044315992292,predicted_bll
4FGL J0156.6-1758,bll,0.8624138269397738,predicted_bll
4FGL J0156.9+4648,fsrq,0.735,predicted_fsrq
4FGL J0156.9-3235,bll,0.8698475609756098,predicted_bll
4FGL J0158.5-5005,fsrq,0.9495149830089588,predicted_fsrq
4FGL J0158.9+7037,bll,0.5745918367346939,remains_bcu
4FGL J0159.3-4523,fsrq,0.65,remains_bcu
4FGL J0201.1-4347,bll,0.9043044315992294,predicted_bll
4FGL J0202.3-0605,bll,0.5969230769230769,remains_bcu
4FGL J0202.9-0225,bll,0.8349462365591398,predicted_bll
4FGL J0203.9+5411,bll,0.6778061224489795,remains_bcu
4FGL J0204.1-2919,bll,0.8748863525031841,predicted_bll
4FGL J0204.3-3140,bll,0.949971098265896,predicted_bll
4FGL J0204.8+1513,fsrq,0.8399418655668656,predicted_fsrq
4FGL J0205.2-3050,fsrq,0.665,remains_bcu
4FGL J0206.4+3829,bll,0.97,predicted_bll
4FGL J0206.8-5744,bll,0.9803494558969011,predicted_bll
4FGL J0207.5-1049,fsrq,0.715,predicted_fsrq
4FGL J0207.5-2402,bll,0.5387212150906417,remains_bcu
4FGL J0207.9+2203,bll,0.824430894308943,predicted_bll
4FGL J0207.9+0953,fsrq,0.5599107142857143,remains_bcu
4FGL J0209.7+6437,fsrq,0.865,predicted_fsrq
4FGL J0210.1+2518,bll,0.9692147107121392,predicted_bll
4FGL J0210.5-1445,bll,0.7539712153518124,predicted_bll
4FGL J0212.2-2559,bll,0.8743283582089552,predicted_bll
4FGL J0212.8-2721,bll,0.5696428571428571,remains_bcu
4FGL J0213.8-6949,bll,0.9798475609756098,predicted_bll
4FGL J0214.2-7025,fsrq,0.9948983277261032,predicted_fsrq
4FGL J0214.4-5822,bll,0.81,predicted_bll
4FGL J0214.6-4333,bll,0.8699710982658959,predicted_bll
4FGL J0214.8-6150,fsrq,0.715,predicted_fsrq
4FGL J0214.9-3722,fsrq,0.8946192528735633,predicted_fsrq
4FGL J0215.3+7555,bll,0.9297225609756096,predicted_bll
4FGL J0215.9+0521,bll,0.7560714285714286,predicted_bll
4FGL J0215.9+0300,bll,0.9572113004618196,predicted_bll
4FGL J0216.6-1015,fsrq,0.5749249903213318,remains_bcu
4FGL J0216.8+0510,bll,0.9198612081560058,predicted_bll
4FGL J0218.7+2640,bll,0.972886352503184,predicted_bll
4FGL J0218.9-2305,fsrq,0.9699596774193548,predicted_fsrq
4FGL J0218.9+3643,fsrq,0.9998188323489324,predicted_fsrq
4FGL J0221.2-1312,fsrq,0.769,predicted_fsrq
4FGL J0221.8+3730,fsrq,0.5194446343130553,remains_bcu
4FGL J0223.5+5415,bll,0.9848224353474692,predicted_bll
4FGL J0223.5+3912,bll,0.9288444712862578,predicted_bll
4FGL J0223.5-0928,fsrq,0.6403168202764976,remains_bcu
4FGL J0224.0-1850,bll,0.8999152542372881,predicted_bll
4FGL J0224.2+1616,bll,0.888488247863248,predicted_bll
4FGL J0225.1-2604,fsrq,1.0,predicted_fsrq
4FGL J0225.5-5618,bll,0.7748475609756098,predicted_bll
4FGL J0225.6-4502,fsrq,0.8195,predicted_fsrq
4FGL J0225.8+1310,bll,0.8786616915422886,predicted_bll
4FGL J0226.3-1845,fsrq,0.8548809523809524,predicted_fsrq
4FGL J0226.6-0553,bll,0.7946559968208388,predicted_bll
4FGL J0226.7+2312,bll,0.8194117647058823,predicted_bll
4FGL J0227.0-1739,fsrq,0.68,remains_bcu
4FGL J0227.3-6119,bll,0.5017499999999999,remains_bcu
4FGL J0227.8+2246,fsrq,0.6857142857142857,remains_bcu
4FGL J0228.1+8208,fsrq,0.79,predicted_fsrq
4FGL J0228.2-3102,bll,0.82,predicted_bll
4FGL J0228.5-2234,bll,0.7501851851851852,predicted_bll
4FGL J0230.0-5236,fsrq,0.575,remains_bcu
4FGL J0233.0+3740,bll,0.929380707762557,predicted_bll
4FGL J0233.5+0654,bll,0.55,remains_bcu
4FGL J0233.9+8041,bll,0.945,predicted_bll
4FGL J0237.1-0714,bll,0.8999710982658959,predicted_bll
4FGL J0237.6+0923,bll,0.6196513605442177,remains_bcu
4FGL J0238.2+1531,fsrq,0.8843026172821351,predicted_fsrq
4FGL J0239.5+1326,bll,0.59,remains_bcu
4FGL J0239.5-1353,fsrq,0.655625,remains_bcu
4FGL J0240.6+3528,bll,0.9445045045045046,predicted_bll
4FGL J0240.8-3401,bll,0.9590812852538276,predicted_bll
4FGL J0241.9-1603,bll,0.9698186592415056,predicted_bll
4FGL J0242.3+5216,fsrq,0.9794829317269076,predicted_fsrq
4FGL J0242.6+1735,bll,0.5363589050077863,remains_bcu
4FGL J0243.7+0321,bll,0.57,remains_bcu
4FGL J0244.7+1316,fsrq,0.9898983277261032,predicted_fsrq
4FGL J0245.4-5950,bll,0.8632138974696576,predicted_bll
4FGL J0246.6-3348,bll,0.9147916666666666,predicted_bll
4FGL J0248.0+2232,bll,0.9296671440899904,predicted_bll
4FGL J0248.6+5131,bll,1.0,predicted_bll
4FGL J0248.6-3511,fsrq,0.97,predicted_fsrq
4FGL J0249.7+4500,bll,0.9936937148217636,predicted_bll
4FGL J0250.2-8224,fsrq,0.9893420866564852,predicted_fsrq
4FGL J0250.3-3422,bll,0.6829464285714286,remains_bcu
4FGL J0250.6+8435,bll,0.85375,predicted_bll
4FGL J0250.7+5630,bll,0.96989010989011,predicted_bll
4FGL J0254.5-7511,fsrq,0.9037916666666668,predicted_fsrq
4FGL J0257.0+3358,bll,0.9362258159352962,predicted_bll
4FGL J0259.3+5453,bll,0.885,predicted_bll
4FGL J0259.4+0308,bll,0.9486937148217636,predicted_bll
4FGL J0259.5-1705,bll,0.949971098265896,predicted_bll
4FGL J0300.2-0514,bll,0.6351020408163265,remains_bcu
4FGL J0301.2+2546,bll,0.868412030295676,predicted_bll
4FGL J0301.9-2731,bll,0.6889583333333335,remains_bcu
4FGL J0303.2+3149,fsrq,0.7946896258503402,predicted_fsrq
4FGL J0303.4-5232,fsrq,0.9948382487003228,predicted_fsrq
